star,city,BusinessParking,RestaurantsPriceRange2,weekday_close_after_23,weekend_close_after_23,weekend_hour_g11,tvslabel,caterslabel,delilabel,outdoorlabel,grouplabel,wheellabel,reservelabel,noiselabel,takeoutlabel,cardlabel,wifilabel,bikelabel
4.5,Las Vegas,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,1,0
3.8,Phoenix,0,1,0,0,1,1,1,1,0,0,0,1,3,0,0,1,0
1.2,Madison,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
4.2,Las Vegas,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,1
3.3,Las Vegas,0,2,0,0,1,1,1,1,0,0,0,1,2,0,0,0,1
4.7,Charlotte,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
4,Phoenix,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,1,0
4,Charlotte,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
2.7,Las Vegas,0,2,0,0,0,1,1,1,0,0,0,1,2,0,0,0,1
4.1,Pittsburgh,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.8,Madison,1,1,0,0,0,1,0,1,1,0,0,1,2,0,0,1,0
3.7,Las Vegas,1,1,1,1,1,0,0,1,0,0,0,1,2,0,0,1,1
4.6,Pittsburgh,1,1,0,0,1,1,0,1,0,0,0,1,2,0,1,0,0
3.8,Charlotte,1,1,0,0,0,1,0,0,0,0,1,1,2,1,0,1,1
4,Las Vegas,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,1,0
4.2,Las Vegas,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.7,Las Vegas,1,2,0,0,1,1,1,1,1,0,0,1,2,0,0,0,1
3.9,Las Vegas,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,1
2.7,Pittsburgh,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
4.4,Madison,1,2,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.6,Madison,1,1,1,1,1,1,1,1,0,0,0,1,2,1,0,1,0
3.3,Phoenix,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,1
4.3,Phoenix,1,1,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0
4.2,Las Vegas,1,1,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0
3.5,Madison,1,1,0,0,0,1,1,1,0,0,0,1,3,0,0,1,0
4.2,Charlotte,0,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0
2.3,Phoenix,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,1
4.2,Pittsburgh,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
3.5,Las Vegas,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
4.3,Las Vegas,0,1,0,0,1,0,1,1,1,0,0,1,2,0,0,0,0
3.7,Las Vegas,1,1,1,1,1,1,0,0,1,0,0,1,2,0,0,1,0
2.4,Phoenix,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1
4.1,Las Vegas,1,2,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0
3.2,Phoenix,0,2,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
4.6,Pittsburgh,0,2,0,0,0,1,1,1,0,0,0,1,2,1,0,1,0
3.6,Phoenix,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
2.3,Phoenix,1,2,0,0,1,1,1,1,1,1,0,1,2,0,0,1,1
4.1,Phoenix,1,1,1,1,1,1,0,1,0,0,0,1,2,0,0,1,0
4.6,Cleveland,1,1,0,0,0,0,1,1,1,0,0,1,2,0,1,0,0
3.3,Las Vegas,0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0
4.3,Charlotte,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,1
4,Pittsburgh,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
3.4,Las Vegas,1,2,1,1,1,1,1,1,0,0,0,1,2,0,0,0,1
3.2,Las Vegas,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,1
4.3,Pittsburgh,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
