,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state,HasTV,GoodForKids,Caters,NoiseLevel,RestaurantsTakeOut,BusinessAcceptsCreditCards,RestaurantsDelivery,WiFi,OutdoorSeating,BusinessParking,RestaurantsPriceRange2,RestaurantsGoodForGroups,BikeParking,WheelchairAccessible,RestaurantsReservations,weekday_close_after_23,weekend_close_after_23,weekend_hour_g11
411,7800 Fairview Rd,nwxF9EKLOCpkScMF2utHDw,Charlotte,35.147358,-80.809568,Ben & Jerry's,28226,19,3.5,NC,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,2,No info,TRUE,No info,No info,0,0,0
460,115 Meyran Ave,O-fYUqXjkwNvRfFnlUH6Iw,Pittsburgh,40.4409588,-79.9586082,Insomnia Cookies,15213,18,3,PA,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,No info,No info,1,1,1
1807,2362 Professor Ave,GhOWffUr9yDBxB5Ceqzc_Q,Cleveland,41.4800318,-81.6854883,Tremont Scoops,44113,89,4,OH,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
1897,10965 Lavender Hill Dr,I8T4Xsp3Wv7W-RJhsHrTDA,Las Vegas,36.1448691,-115.3330941,Menchie's Frozen Yogurt,89135,49,3.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
1969,4845 S Fort Apache Rd,iX2c4IzH_L5F6FM5GD3SUQ,Las Vegas,36.10168999,-115.2981503,Tasty Crepes,89147,260,4.5,NV,TRUE,TRUE,TRUE,quiet,TRUE,TRUE,FALSE,Free wifi,FALSE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
2567,2120 E Craig Rd,viFP7j-WLzVhkCFXWGWQDw,Las Vegas,36.24029173,-115.1200517,Sonic Drive-In,89031,55,3,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,1,1,1
3135,11508 Providence Rd,Wlg9fruyWcoW3VuPuRDcpA,Charlotte,35.052984,-80.77077,Carvel,28277,27,3.5,NC,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,0
3827,5887 W Indian School Rd,D2DCpj35nBAJEXguPLaHyw,Phoenix,33.4939252,-112.1851927,Raspados El Zalate,85033,11,4,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,FALSE,No info,No info,0,0,1
4369,5050 N 7th St,q0fX5CAXSURUOM_YDjHP3Q,Phoenix,33.5110791,-112.0653937,AZ Pops,85014,69,4.5,AZ,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
5096,5541 Walnut St,99SN6hku1PToQ2E3-4h8CA,Pittsburgh,40.4518188,-79.9323587,Jitters Cafe,15232,61,4,PA,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,No info,TRUE,No info,No info,0,0,1
6292,"9009 J M Keynes Dr, Ste 4",2232XZ-3ub4S9cmrHJSDFg,Charlotte,35.3105707,-80.7492861,Ninety's Ice Cream & Sandwiches,28262,164,4.5,NC,FALSE,TRUE,TRUE,quiet,TRUE,TRUE,FALSE,No wifi,TRUE,0,1,TRUE,TRUE,No info,FALSE,0,0,0
6648,8502 Park Rd,ABeV2EzgMhyqyZGwXDBVdA,Charlotte,35.117297,-80.857399,TCBY,28210,11,4,NC,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,No info,No info,0,0,0
6925,2500 Dunavant St,_lpqjZAseSvoDxPN-_JnzQ,Charlotte,35.204712,-80.86684,King of Pops,28203,88,4.5,NC,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
7007,10490 S Decatur Blvd,0FbFqMBLRGRRdZlGJeXjug,Las Vegas,35.999084,-115.2068864,Purple Penguin Snowcone Shack,89141,30,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
7268,4727 E Bell Rd,HbzO-ZpnoR1hkOaygZPKYA,Phoenix,33.63823957,-111.9783571,Rita's Italian Ice,85032,66,4,AZ,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
8422,2647 W Glendale Ave,TBnB4iIU0pVKkAzN4T8xNg,Phoenix,33.5381782,-112.1334426,Neveria Chayos,85051,42,4.5,AZ,No info,TRUE,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,1,1,TRUE,TRUE,TRUE,FALSE,0,0,1
8460,"3663 Las Vegas Blvd, Ste 520",q2YXBzJ2S6jM8pbC23f83Q,Las Vegas,36.10887741,-115.1698762,Ben & Jerry's,89109,38,2.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,1
9295,2301 E Sahara Ave,oIcGZlqwrKkyw_L6YAVYfw,Las Vegas,36.144818,-115.1168704,Sonic Drive-In,89104,29,2.5,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,1,1,1
9405,"3021 Charleston Blvd, Ste B",UkFMV7WGFfE_u8zyUkkuqg,Las Vegas,36.1591474,-115.1070562,La Flor de Michoacan,89104,66,4,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,1
10720,5020 W Spring Mountain Rd,JKbovvbmbQKgb_v7KBpzPA,Las Vegas,36.1265945,-115.20955,Chamon Matcha Salon,89146,37,4,NV,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,FALSE,0,1,No info,FALSE,No info,No info,0,0,0
11625,"3400 S Jones Blvd, Ste 3",E_7RIDFNQfxREnI_E5h0uA,Las Vegas,36.12808149,-115.224562,Matcha Cafe Maiko,89146,237,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,FALSE,0,1,No info,TRUE,TRUE,No info,0,0,0
13006,"2045 E Camelback Rd, Ste A16",pV0eHAVd-guPjogXLnJ_Sg,Phoenix,33.5082758,-112.0372054,Nekter Juice Bar,85016,85,4,AZ,FALSE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,Free wifi,FALSE,0,2,TRUE,TRUE,No info,FALSE,0,0,1
