,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state,HasTV,GoodForKids,Caters,NoiseLevel,RestaurantsTakeOut,BusinessAcceptsCreditCards,RestaurantsDelivery,WiFi,OutdoorSeating,BusinessParking,RestaurantsPriceRange2,RestaurantsGoodForGroups,BikeParking,WheelchairAccessible,RestaurantsReservations,weekday_close_after_23,weekend_close_after_23,weekend_hour_g11,caterslabel,tvslabel,kidlabel,delilabel,outdoorlabel,grouplabel,wheellabel,reservelabel,noiselabel,takeoutlabel,cardlabel,wifilabel,bikelabel
0,0,0,411,7800 Fairview Rd,nwxF9EKLOCpkScMF2utHDw,Charlotte,35.147358000000004,-80.809568,Ben & Jerry's,28226,19,3.5,NC,No info,No info,TRUE,No info,True,True,No info,No wifi,No info,1,2,No info,True,No info,No info,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0.0,0
1,1,1,460,115 Meyran Ave,O-fYUqXjkwNvRfFnlUH6Iw,Pittsburgh,40.4409588,-79.9586082,Insomnia Cookies,15213,18,3.0,PA,No info,No info,No info,No info,True,True,No info,No wifi,No info,0,1,No info,True,No info,No info,1,1,1,1,1,1,1,1,0,0,1,2,0,0,0.0,0
2,2,2,1807,2362 Professor Ave,GhOWffUr9yDBxB5Ceqzc_Q,Cleveland,41.4800318,-81.68548829999997,Tremont Scoops,44113,89,4.0,OH,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,0,1,1,1,1,1,0,0,1,2,0,0,0.0,0
3,3,3,1897,10965 Lavender Hill Dr,I8T4Xsp3Wv7W-RJhsHrTDA,Las Vegas,36.1448691,-115.33309409999998,Menchie's Frozen Yogurt,89135,49,3.5,NV,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,1,No info,True,TRUE,No info,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0.0,0
4,4,4,1969,4845 S Fort Apache Rd,iX2c4IzH_L5F6FM5GD3SUQ,Las Vegas,36.10168999,-115.2981503,Tasty Crepes,89147,260,4.5,NV,TRUE,TRUE,TRUE,quiet,True,True,FALSE,Free wifi,FALSE,1,1,TRUE,True,No info,FALSE,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1.0,0
5,5,5,2567,2120 E Craig Rd,viFP7j-WLzVhkCFXWGWQDw,Las Vegas,36.24029173,-115.1200517,Sonic Drive-In,89031,55,3.0,NV,FALSE,TRUE,FALSE,average,True,True,FALSE,No wifi,TRUE,1,1,TRUE,True,No info,FALSE,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0.0,0
6,6,6,3135,11508 Providence Rd,Wlg9fruyWcoW3VuPuRDcpA,Charlotte,35.052984,-80.77077,Carvel,28277,27,3.5,NC,No info,No info,No info,No info,True,True,No info,No wifi,No info,1,1,No info,False,No info,No info,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0.0,1
7,7,7,3827,5887 W Indian School Rd,D2DCpj35nBAJEXguPLaHyw,Phoenix,33.4939252,-112.18519270000002,Raspados El Zalate,85033,11,4.0,AZ,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,0,1,No info,False,No info,No info,0,0,1,1,0,1,1,1,0,0,1,2,0,0,0.0,1
8,8,8,4369,5050 N 7th St,q0fX5CAXSURUOM_YDjHP3Q,Phoenix,33.5110791,-112.06539369999999,AZ Pops,85014,69,4.5,AZ,No info,No info,TRUE,No info,True,True,No info,Free wifi,No info,1,1,No info,True,TRUE,No info,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1.0,0
9,9,9,5096,5541 Walnut St,99SN6hku1PToQ2E3-4h8CA,Pittsburgh,40.4518188,-79.93235870000002,Jitters Cafe,15232,61,4.0,PA,No info,No info,FALSE,No info,True,True,FALSE,Free wifi,TRUE,1,1,No info,True,No info,No info,0,0,1,1,1,1,1,0,0,0,1,2,0,0,1.0,0
10,10,10,6292,"9009 J M Keynes Dr, Ste 4",2232XZ-3ub4S9cmrHJSDFg,Charlotte,35.31057070000001,-80.74928609999998,Ninety's Ice Cream & Sandwiches,28262,164,4.5,NC,FALSE,TRUE,TRUE,quiet,True,True,FALSE,No wifi,TRUE,0,1,TRUE,True,No info,FALSE,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0.0,0
11,11,11,6648,8502 Park Rd,ABeV2EzgMhyqyZGwXDBVdA,Charlotte,35.117297,-80.857399,TCBY,28210,11,4.0,NC,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,0,1,No info,True,No info,No info,0,0,0,1,0,1,1,1,0,0,1,2,0,0,0.0,0
12,12,12,6925,2500 Dunavant St,_lpqjZAseSvoDxPN-_JnzQ,Charlotte,35.204712,-80.86684,King of Pops,28203,88,4.5,NC,No info,No info,TRUE,No info,True,True,No info,Free wifi,No info,1,1,No info,True,No info,No info,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1.0,0
13,13,13,7007,10490 S Decatur Blvd,0FbFqMBLRGRRdZlGJeXjug,Las Vegas,35.999084,-115.2068864,Purple Penguin Snowcone Shack,89141,30,4.5,NV,No info,No info,FALSE,No info,True,True,FALSE,No wifi,No info,1,1,No info,True,TRUE,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
14,14,14,7268,4727 E Bell Rd,HbzO-ZpnoR1hkOaygZPKYA,Phoenix,33.63823957,-111.9783571,Rita's Italian Ice,85032,66,4.0,AZ,No info,No info,TRUE,No info,True,True,No info,No wifi,No info,1,1,No info,True,TRUE,No info,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0.0,0
