business_id,compliment_count,date,text,user_id
OPiPeoJiv92rENwbq76orA,0,2013,Happy Hour 2-4 daily with 1/2 price drinks and slushes AND after 8 half price shakes.  They actually have a peanut butter and bacon shake.,Ocha4kZBHb4JK0lOWvE0sg
WHdmQ-zPYYTJUqaUOfNpkQ,0,2012,Very good very different!,6ZC-0LfOAGwaFc5XPke74w
VHZPbCbIPHEkKOotdCTiow,0,2014,Better than kuma. X10,QDvX9KJ53kt3O7M3k43Iew
kwMJ4KfhEcrk9jiMe-S6wQ,0,2012,"Terrific little restaurant with wood fired pizza, gelato.  I really like the salad and antipasti.",QQtoHnP0cP7nzNnUob_1CQ
PJxqFL-xUmUaCe2STc5VRA,0,2012,Stale ice cream !!! Blah,waDvmAl78R3Ke5Ube5cXkw
mxuUDbstSrPf2OVfjXKpBA,0,2015,Fine dinging at THE DUNGEON at Excalibur.  Club Panini inspired from Paris France,8v3aEuuHEJU_8h0OgmsfDA
sxNMGQwUuaDsviR4BtuX0g,0,2016,I cannot wait to try this place! Thank you Ice Cream Angels!,bzU8Cl6B9nqV1i5NReobvw
NiQ_3tXqkoe6GaQ5w2sHaQ,0,2012,Happy hour 2-5.,k1FxBPNVosnWJHttRNdvPQ
2rvBPUBtQU0WfcOAHLQWRQ,0,2016,Hope you all appreciate their donut names as much as I do!!,96xXuvVkvyt8IoQES21-GQ
-95mbLJsa0CxXhpaNL4LvA,0,2016,"Timing is very important here it can be a hit or miss, all macarons stocked or out of everything. But you can't blame this small ice cream store they always try to do the best they can!",EYwvNonD5kUGGNRTGjAAHA
bKkg_SW-lWU2XDNVodksOg,0,2017,My favorite yogurt place!! My favorite flavor has to be Dole Pineapple Sorbet!,L68OA1hKmVWet1-j6bSTvw
K8M3OeFCcAnxuxtTc0BQrQ,0,2015,Best Sundaes and milk shakes in town,pIMH3wPShIBK1kCM7RhRfA
u-3exVNGKE0iJ7nnxS3BbA,0,2018,Try the mango milk tea!!,e3c6w6sM8sJ_g0IlF6CSog
VHZPbCbIPHEkKOotdCTiow,0,2014,50 cents price increase!,Apj8bnqWlnaiSu4YDl0wDA
DPZrdAzdnTr7HiiDJyHybw,0,2016,Tried the horchata. One of the best I've ever had. Delicious!,HLxTwrrNrEfLNNsw2liSuA
PJxqFL-xUmUaCe2STc5VRA,0,2017,Rdxmlznujxnnxjxbxbxbzjdbxbxd I z nsnnmxmmsnsebnms eèwnwxnln,TPFGII-HmGWALmiSMbHoqA
So52MxrZGy8bPpyDPQP-Lg,0,2017,Get an icecream sandwich!,8pmxwY_nmXYBzKPa-klk3Q
wYVHHnA3ttwpbeyjNXopDQ,0,2013,So laid back here :),D2ljL5ejuqpa4f8fnZ1qjw
bRR4gsjHv0F_RnRGjQBqlg,0,2014,Start off on the regular special,JlwWHBFT76iSJe5mWIcZ4A
-95mbLJsa0CxXhpaNL4LvA,0,2015,So yummy,UIMPmFJz6pEPaCCot0hEAQ
yYwTV3c9Q3S1UDdpDhjgTg,0,2011,Brownie a la coldstone :),vLViu2g_fVFqexb-NBhx4Q
-yApKLEFAvvNyifvpNKWCA,0,2013,"I like the desert sundae, A LOT!!!!!",sXyrS8A4YgwExMCxtWaTLg
cNx3qzQ55JXpjZEt4lc7Tg,0,2017,This place is amazing! The prices are the most incredible!,01wkhUjl0Nsm8BPjxAfwmg
tEaW0zgsYihSTjysrpXaWg,0,2018,"About average/ what you'd expect, only 3x the price at $7.23",WemZ8ihgEyKZiYzf6RwlOQ
_SQvOdb33mhlNJZYEYUKxA,0,2012,Salted caramel!,5uiCy0vSIknuDEHc7yHRkw
AI7sIJMnSYVX8aLxdPVyNA,0,2012,It's open!,H4W1CyyrU3Ru3rcSMkCG7g
